Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Monday 2 January 2023,13:00,Mostly Cloudy,11°,7,87%,1025 hPa
Monday 2 January 2023,13:30,Mostly Cloudy,12°,7,82%,1025 hPa
Monday 2 January 2023,14:00,Mostly Cloudy,12°,6,82%,1024 hPa
Monday 2 January 2023,14:30,Mostly Cloudy,12°,6,76%,1024 hPa
Monday 2 January 2023,15:00,Partly Cloudy,12°,7,82%,1024 hPa
Monday 2 January 2023,15:30,Partly Cloudy,12°,9,76%,1024 hPa
Monday 2 January 2023,16:00,Mostly Cloudy,12°,7,76%,1024 hPa
Monday 2 January 2023,16:30,Mostly Cloudy,12°,7,76%,1025 hPa
Monday 2 January 2023,17:00,Mostly Cloudy,12°,7,76%,1025 hPa
Monday 2 January 2023,17:30,Mostly Cloudy,11°,6,82%,1025 hPa
Monday 2 January 2023,18:00,Mostly Cloudy,11°,2,82%,1025 hPa
Monday 2 January 2023,18:30,Mostly Cloudy,10°,2,87%,1025 hPa
Monday 2 January 2023,19:00,Mostly Cloudy,11°,4,82%,1025 hPa
Monday 2 January 2023,19:30,Mostly Cloudy,11°,4,82%,1026 hPa
Monday 2 January 2023,20:00,Mostly Cloudy,10°,4,87%,1026 hPa
Monday 2 January 2023,20:30,Mostly Cloudy,10°,2,87%,1026 hPa
Monday 2 January 2023,21:00,Mostly Cloudy,10°,Calm,87%,1026 hPa
Monday 2 January 2023,21:30,Mostly Cloudy,10°,2,87%,1026 hPa
Monday 2 January 2023,22:00,Mostly Cloudy,9°,2,93%,1026 hPa
Monday 2 January 2023,22:30,Mostly Cloudy,9°,6,87%,1026 hPa
Monday 2 January 2023,23:00,Mostly Cloudy,9°,Calm,93%,1027 hPa
Monday 2 January 2023,23:30,Mostly Cloudy,9°,4,93%,1027 hPa
Tuesday 3 January 2023,00:00,Mostly Cloudy,9°,6,81%,1027 hPa
Tuesday 3 January 2023,00:30,Mostly Cloudy,9°,9,81%,1027 hPa
Tuesday 3 January 2023,01:00,Mostly Cloudy,8°,6,87%,1027 hPa
Tuesday 3 January 2023,01:30,Mostly Cloudy,8°,7,87%,1027 hPa
Tuesday 3 January 2023,02:00,Mostly Cloudy,8°,9,87%,1027 hPa
Tuesday 3 January 2023,02:30,Mostly Cloudy,7°,7,87%,1027 hPa
Tuesday 3 January 2023,03:00,Mostly Cloudy,7°,4,87%,1027 hPa
Tuesday 3 January 2023,03:30,Partly Cloudy,6°,4,93%,1028 hPa
Tuesday 3 January 2023,04:00,Partly Cloudy,6°,6,93%,1028 hPa
Tuesday 3 January 2023,04:30,Mostly Cloudy,6°,6,93%,1028 hPa
Tuesday 3 January 2023,05:00,Mostly Cloudy,6°,4,87%,1028 hPa
Tuesday 3 January 2023,05:30,Partly Cloudy,6°,6,87%,1028 hPa
Tuesday 3 January 2023,06:00,Partly Cloudy,5°,2,93%,1028 hPa
Tuesday 3 January 2023,06:30,Mostly Cloudy,5°,4,93%,1028 hPa
Tuesday 3 January 2023,07:00,Mostly Cloudy,5°,7,87%,1029 hPa
Tuesday 3 January 2023,07:30,Mostly Cloudy,5°,7,87%,1029 hPa
Tuesday 3 January 2023,08:00,Partly Cloudy,4°,6,93%,1029 hPa
Tuesday 3 January 2023,08:30,Fair,4°,7,93%,1030 hPa
Tuesday 3 January 2023,09:00,Fair,4°,6,87%,1030 hPa
Tuesday 3 January 2023,09:30,Clear,4°,6,93%,1030 hPa
Tuesday 3 January 2023,10:00,Clear,5°,6,87%,1031 hPa
Tuesday 3 January 2023,10:30,Clear,6°,6,81%,1031 hPa
Tuesday 3 January 2023,11:00,Clear,7°,4,81%,1031 hPa
Tuesday 3 January 2023,11:30,Clear,9°,2,76%,1031 hPa
Tuesday 3 January 2023,12:00,Fair,9°,4,71%,1032 hPa
Tuesday 3 January 2023,12:30,Fair,11°,4,66%,1031 hPa
Tuesday 3 January 2023,13:00,Clear,11°,4,66%,1031 hPa
Tuesday 3 January 2023,13:30,Clear,12°,2,62%,1031 hPa
Tuesday 3 January 2023,14:00,Clear,13°,4,58%,1031 hPa
Tuesday 3 January 2023,14:30,Clear,14°,2,58%,1030 hPa
Tuesday 3 January 2023,15:00,Fair,13°,4,58%,1030 hPa
Tuesday 3 January 2023,15:30,Fair,13°,2,58%,1030 hPa
Tuesday 3 January 2023,16:00,Fair,13°,6,58%,1030 hPa
Tuesday 3 January 2023,16:30,Fair,13°,2,58%,1030 hPa
Tuesday 3 January 2023,17:00,Fair,13°,2,54%,1030 hPa
Tuesday 3 January 2023,17:30,Fair,13°,Calm,54%,1030 hPa
Tuesday 3 January 2023,18:00,Clear,10°,Calm,71%,1031 hPa
Tuesday 3 January 2023,18:30,Clear,9°,2,76%,1031 hPa
Tuesday 3 January 2023,19:00,Clear,8°,2,76%,1031 hPa
Tuesday 3 January 2023,19:30,Clear,7°,4,81%,1032 hPa
Tuesday 3 January 2023,20:00,Clear,7°,6,76%,1032 hPa
Tuesday 3 January 2023,20:30,Clear,6°,6,75%,1032 hPa
Tuesday 3 January 2023,21:00,Clear,5°,6,87%,1032 hPa
Tuesday 3 January 2023,21:30,Clear,6°,6,81%,1032 hPa
Tuesday 3 January 2023,22:00,Clear,5°,6,87%,1032 hPa
Tuesday 3 January 2023,22:30,Clear,4°,6,93%,1033 hPa
Tuesday 3 January 2023,23:00,Clear,3°,6,93%,1033 hPa
Tuesday 3 January 2023,23:30,Clear,4°,4,87%,1033 hPa
Wednesday 4 January 2023,00:00,Clear,3°,6,93%,1033 hPa
Wednesday 4 January 2023,00:30,Clear,3°,6,87%,1033 hPa
Wednesday 4 January 2023,01:00,Clear,3°,6,93%,1033 hPa
Wednesday 4 January 2023,01:30,Clear,3°,6,93%,1033 hPa
Wednesday 4 January 2023,02:00,Clear,2°,6,93%,1033 hPa
Wednesday 4 January 2023,02:30,Clear,2°,4,93%,1033 hPa
Wednesday 4 January 2023,03:00,Clear,2°,4,93%,1033 hPa
Wednesday 4 January 2023,03:30,Clear,1°,4,93%,1033 hPa
Wednesday 4 January 2023,04:00,Clear,1°,4,93%,1033 hPa
Wednesday 4 January 2023,04:30,Clear,1°,6,93%,1033 hPa
Wednesday 4 January 2023,05:00,Clear,1°,6,93%,1034 hPa
Wednesday 4 January 2023,05:30,Clear,0°,6,100%,1033 hPa
Wednesday 4 January 2023,06:00,Clear,0°,6,100%,1033 hPa
Wednesday 4 January 2023,06:30,Clear,0°,4,100%,1034 hPa
Wednesday 4 January 2023,07:00,Clear,0°,4,93%,1034 hPa
Wednesday 4 January 2023,07:30,Clear,0°,4,93%,1034 hPa
Wednesday 4 January 2023,08:00,Clear,-1°,4,100%,1034 hPa
Wednesday 4 January 2023,08:30,Clear,-1°,4,100%,1034 hPa
Wednesday 4 January 2023,09:00,Clear,-1°,6,100%,1035 hPa
Wednesday 4 January 2023,09:30,Clear,1°,6,93%,1035 hPa
Wednesday 4 January 2023,10:00,Clear,1°,4,93%,1035 hPa
Wednesday 4 January 2023,10:30,Clear,2°,4,87%,1035 hPa
Wednesday 4 January 2023,11:00,Clear,4°,7,81%,1035 hPa
Wednesday 4 January 2023,11:30,Clear,5°,4,81%,1035 hPa
Wednesday 4 January 2023,12:00,Clear,7°,2,70%,1035 hPa
