Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Thursday 2 February 2023,19:30,Clear,8°,Calm,53%,1030 hPa
Thursday 2 February 2023,20:00,Clear,7°,2,57%,1030 hPa
Thursday 2 February 2023,20:30,Clear,6°,4,61%,1030 hPa
Thursday 2 February 2023,21:00,Clear,5°,4,65%,1030 hPa
Thursday 2 February 2023,21:30,Clear,4°,7,70%,1030 hPa
Thursday 2 February 2023,22:00,Clear,4°,6,70%,1030 hPa
Thursday 2 February 2023,22:30,Clear,3°,7,75%,1030 hPa
Thursday 2 February 2023,23:00,Clear,3°,7,75%,1031 hPa
Thursday 2 February 2023,23:30,Clear,2°,2,80%,1031 hPa
Friday 3 February 2023,00:00,Clear,1°,6,80%,1031 hPa
Friday 3 February 2023,00:30,Clear,1°,6,86%,1031 hPa
Friday 3 February 2023,01:00,Clear,1°,6,80%,1031 hPa
Friday 3 February 2023,01:30,Clear,1°,6,86%,1031 hPa
Friday 3 February 2023,02:00,Clear,0°,6,74%,1031 hPa
Friday 3 February 2023,02:30,Clear,-1°,4,86%,1031 hPa
Friday 3 February 2023,03:00,Clear,-1°,6,86%,1031 hPa
Friday 3 February 2023,03:30,Clear,-1°,6,80%,1031 hPa
Friday 3 February 2023,04:00,Clear,-2°,4,93%,1030 hPa
Friday 3 February 2023,04:30,Clear,-2°,4,86%,1030 hPa
Friday 3 February 2023,05:00,Clear,-2°,6,93%,1030 hPa
Friday 3 February 2023,05:30,Clear,-2°,4,86%,1030 hPa
Friday 3 February 2023,06:00,Clear,-2°,4,86%,1031 hPa
Friday 3 February 2023,06:30,Clear,-2°,4,93%,1031 hPa
Friday 3 February 2023,07:00,Clear,-2°,6,86%,1031 hPa
Friday 3 February 2023,07:30,Clear,-3°,4,86%,1031 hPa
Friday 3 February 2023,08:00,Clear,-3°,4,86%,1031 hPa
Friday 3 February 2023,09:00,Clear,-2°,6,86%,1032 hPa
Friday 3 February 2023,09:30,Clear,-1°,6,80%,1032 hPa
Friday 3 February 2023,10:00,Clear,0°,6,80%,1032 hPa
Friday 3 February 2023,10:30,Clear,2°,4,69%,1033 hPa
Friday 3 February 2023,11:00,Clear,4°,2,65%,1033 hPa
Friday 3 February 2023,11:30,Clear,6°,Calm,56%,1033 hPa
Friday 3 February 2023,12:00,Clear,9°,2,53%,1033 hPa
Friday 3 February 2023,12:30,Clear,9°,4,49%,1033 hPa
Friday 3 February 2023,13:00,Clear,11°,2,47%,1032 hPa
Friday 3 February 2023,13:30,Clear,12°,6,40%,1032 hPa
Friday 3 February 2023,14:00,Clear,13°,4,33%,1031 hPa
Friday 3 February 2023,14:30,Clear,14°,6,31%,1031 hPa
Friday 3 February 2023,15:00,Clear,15°,4,29%,1030 hPa
Friday 3 February 2023,15:30,Clear,16°,2,25%,1030 hPa
Friday 3 February 2023,16:00,Clear,16°,2,25%,1030 hPa
Friday 3 February 2023,16:30,Clear,16°,4,27%,1030 hPa
Friday 3 February 2023,17:00,Clear,17°,4,25%,1030 hPa
Friday 3 February 2023,17:30,Clear,17°,4,25%,1030 hPa
Friday 3 February 2023,18:00,Clear,17°,2,25%,1030 hPa
Friday 3 February 2023,18:30,Clear,15°,4,25%,1030 hPa
Friday 3 February 2023,19:00,Clear,12°,2,32%,1031 hPa
Friday 3 February 2023,19:30,Clear,10°,Calm,40%,1031 hPa
Friday 3 February 2023,20:00,Clear,9°,4,43%,1031 hPa
Friday 3 February 2023,20:30,Clear,8°,6,46%,1031 hPa
Friday 3 February 2023,21:00,Clear,7°,7,49%,1031 hPa
Friday 3 February 2023,21:30,Clear,5°,11,60%,1031 hPa
Friday 3 February 2023,22:00,Clear,5°,7,60%,1032 hPa
Friday 3 February 2023,22:30,Clear,4°,7,65%,1032 hPa
Friday 3 February 2023,23:00,Clear,3°,4,70%,1032 hPa
Friday 3 February 2023,23:30,Clear,4°,9,60%,1032 hPa
Saturday 4 February 2023,00:00,Clear,3°,6,65%,1032 hPa
Saturday 4 February 2023,00:30,Clear,2°,4,69%,1032 hPa
Saturday 4 February 2023,01:00,Clear,2°,6,64%,1032 hPa
Saturday 4 February 2023,01:30,Clear,1°,6,69%,1032 hPa
Saturday 4 February 2023,02:00,Clear,1°,6,69%,1032 hPa
Saturday 4 February 2023,02:30,Clear,0°,2,74%,1032 hPa
Saturday 4 February 2023,03:00,Clear,-1°,4,80%,1032 hPa
Saturday 4 February 2023,03:30,Clear,-2°,4,80%,1032 hPa
Saturday 4 February 2023,04:00,Clear,-2°,Calm,80%,1032 hPa
Saturday 4 February 2023,04:30,Clear,-2°,6,80%,1032 hPa
Saturday 4 February 2023,05:00,Clear,-3°,2,86%,1032 hPa
Saturday 4 February 2023,05:30,Clear,-2°,4,80%,1032 hPa
Saturday 4 February 2023,06:00,Clear,-3°,4,80%,1031 hPa
Saturday 4 February 2023,06:30,Clear,-3°,6,80%,1031 hPa
Saturday 4 February 2023,07:00,Clear,-3°,6,80%,1031 hPa
Saturday 4 February 2023,07:30,Clear,-3°,4,80%,1031 hPa
Saturday 4 February 2023,08:00,Clear,-3°,4,80%,1031 hPa
Saturday 4 February 2023,08:30,Clear,-3°,6,80%,1032 hPa
Saturday 4 February 2023,09:00,Clear,-3°,4,80%,1032 hPa
Saturday 4 February 2023,09:30,Clear,-1°,2,74%,1032 hPa
Saturday 4 February 2023,10:00,Clear,0°,4,69%,1032 hPa
Saturday 4 February 2023,10:30,Clear,2°,4,64%,1032 hPa
Saturday 4 February 2023,11:00,Clear,4°,4,60%,1032 hPa
Saturday 4 February 2023,11:30,Clear,6°,4,52%,1032 hPa
Saturday 4 February 2023,12:00,Clear,9°,2,43%,1032 hPa
Saturday 4 February 2023,12:30,Clear,10°,2,40%,1032 hPa
Saturday 4 February 2023,13:00,Clear,12°,2,30%,1031 hPa
Saturday 4 February 2023,13:30,Clear,13°,2,26%,1031 hPa
Saturday 4 February 2023,14:00,Clear,15°,Calm,25%,1030 hPa
Saturday 4 February 2023,14:30,Clear,16°,4,27%,1030 hPa
Saturday 4 February 2023,15:00,Clear,17°,4,23%,1029 hPa
Saturday 4 February 2023,15:30,Clear,18°,Calm,24%,1029 hPa
Saturday 4 February 2023,16:00,Clear,18°,Calm,22%,1029 hPa
Saturday 4 February 2023,16:30,Clear,19°,Calm,19%,1029 hPa
Saturday 4 February 2023,17:00,Clear,19°,Calm,21%,1028 hPa
Saturday 4 February 2023,17:30,Clear,18°,2,22%,1029 hPa
Saturday 4 February 2023,18:00,Clear,17°,2,27%,1029 hPa
Saturday 4 February 2023,18:30,Clear,14°,2,36%,1029 hPa
Saturday 4 February 2023,19:00,Clear,13°,7,35%,1029 hPa
Saturday 4 February 2023,19:30,Clear,13°,15,28%,1029 hPa
Saturday 4 February 2023,20:00,Clear,12°,17,30%,1029 hPa
Saturday 4 February 2023,20:30,Clear,11°,15,32%,1029 hPa
Saturday 4 February 2023,21:00,Clear,8°,6,42%,1030 hPa
Saturday 4 February 2023,21:30,Clear,10°,2,34%,1030 hPa
Saturday 4 February 2023,22:00,Clear,9°,6,37%,1030 hPa
Saturday 4 February 2023,22:30,Clear,8°,4,39%,1030 hPa
Saturday 4 February 2023,23:00,Clear,6°,4,45%,1030 hPa
Saturday 4 February 2023,23:30,Clear,6°,4,45%,1030 hPa
Sunday 5 February 2023,00:00,Clear,5°,4,48%,1030 hPa
Sunday 5 February 2023,00:30,Clear,4°,2,48%,1030 hPa
Sunday 5 February 2023,01:00,Clear,3°,4,51%,1030 hPa
