Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Sunday 2 April 2023,20:30,Clear,15°,20,29%,1023 hPa
Sunday 2 April 2023,21:00,Clear,14°,13,28%,1023 hPa
Sunday 2 April 2023,21:30,Clear,13°,11,30%,1023 hPa
Sunday 2 April 2023,22:00,Clear,13°,15,28%,1023 hPa
Sunday 2 April 2023,22:30,Clear,12°,13,32%,1024 hPa
Sunday 2 April 2023,23:00,Clear,12°,11,35%,1024 hPa
Sunday 2 April 2023,23:30,Clear,12°,2,35%,1024 hPa
Monday 3 April 2023,00:00,Clear,10°,Calm,37%,1024 hPa
Monday 3 April 2023,00:30,Clear,9°,6,40%,1024 hPa
Monday 3 April 2023,01:00,Clear,9°,7,43%,1024 hPa
Monday 3 April 2023,01:30,Clear,9°,2,43%,1024 hPa
Monday 3 April 2023,02:00,Clear,8°,Calm,46%,1023 hPa
Monday 3 April 2023,02:30,Clear,8°,2,46%,1023 hPa
Monday 3 April 2023,03:00,Clear,8°,6,46%,1023 hPa
Monday 3 April 2023,03:30,Clear,7°,2,49%,1023 hPa
Monday 3 April 2023,04:00,Clear,7°,2,53%,1022 hPa
Monday 3 April 2023,04:30,Clear,6°,2,52%,1022 hPa
Monday 3 April 2023,05:00,Clear,5°,Calm,56%,1022 hPa
Monday 3 April 2023,05:30,Clear,5°,4,60%,1022 hPa
Monday 3 April 2023,06:00,Clear,4°,7,65%,1021 hPa
Monday 3 April 2023,06:30,Clear,3°,4,70%,1021 hPa
Monday 3 April 2023,07:00,Clear,2°,7,75%,1021 hPa
Monday 3 April 2023,07:30,Clear,2°,7,75%,1021 hPa
Monday 3 April 2023,08:00,Clear,2°,6,69%,1021 hPa
Monday 3 April 2023,08:30,Clear,2°,6,75%,1021 hPa
Monday 3 April 2023,09:00,Clear,3°,4,70%,1021 hPa
Monday 3 April 2023,09:30,Clear,4°,6,65%,1021 hPa
Monday 3 April 2023,10:00,Clear,7°,Calm,53%,1021 hPa
Monday 3 April 2023,10:30,Clear,7°,4,53%,1021 hPa
Monday 3 April 2023,11:00,Clear,8°,4,49%,1020 hPa
Monday 3 April 2023,11:30,Clear,10°,6,43%,1020 hPa
Monday 3 April 2023,12:00,Clear,12°,4,38%,1020 hPa
Monday 3 April 2023,12:30,Clear,13°,6,35%,1019 hPa
Monday 3 April 2023,13:00,Clear,14°,6,33%,1019 hPa
Monday 3 April 2023,13:30,Clear,15°,2,27%,1018 hPa
Monday 3 April 2023,14:00,Clear,17°,4,23%,1018 hPa
Monday 3 April 2023,14:30,Clear,17°,6,17%,1017 hPa
Monday 3 April 2023,15:00,Clear,18°,4,16%,1016 hPa
Monday 3 April 2023,15:30,Clear,18°,11,18%,1016 hPa
Monday 3 April 2023,16:00,Clear,19°,6,16%,1015 hPa
Monday 3 April 2023,16:30,Clear,19°,6,16%,1015 hPa
Monday 3 April 2023,17:00,Clear,20°,6,15%,1014 hPa
Monday 3 April 2023,17:30,Clear,19°,7,14%,1014 hPa
Monday 3 April 2023,18:00,Clear,20°,6,14%,1014 hPa
Monday 3 April 2023,18:30,Clear,20°,7,17%,1013 hPa
Monday 3 April 2023,19:00,Clear,19°,4,18%,1013 hPa
Monday 3 April 2023,19:30,Clear,19°,Calm,18%,1013 hPa
Monday 3 April 2023,20:00,Clear,18°,7,18%,1013 hPa
Monday 3 April 2023,20:30,Clear,18°,9,19%,1012 hPa
Monday 3 April 2023,21:00,Clear,17°,9,20%,1012 hPa
Monday 3 April 2023,21:30,Clear,16°,9,23%,1012 hPa
Monday 3 April 2023,22:00,Clear,16°,6,27%,1012 hPa
Monday 3 April 2023,22:30,Clear,14°,9,28%,1013 hPa
Monday 3 April 2023,23:00,Clear,15°,7,23%,1013 hPa
Monday 3 April 2023,23:30,Clear,14°,7,26%,1013 hPa
Tuesday 4 April 2023,00:00,Clear,13°,2,28%,1013 hPa
Tuesday 4 April 2023,00:30,Clear,14°,7,28%,1013 hPa
Tuesday 4 April 2023,01:00,Clear,13°,4,30%,1013 hPa
Tuesday 4 April 2023,01:30,Clear,13°,4,30%,1013 hPa
Tuesday 4 April 2023,02:00,Clear,11°,2,35%,1013 hPa
Tuesday 4 April 2023,02:30,Clear,11°,2,32%,1013 hPa
Tuesday 4 April 2023,03:00,Clear,10°,4,37%,1012 hPa
Tuesday 4 April 2023,03:30,Clear,9°,4,40%,1012 hPa
Tuesday 4 April 2023,04:00,Clear,9°,4,40%,1012 hPa
Tuesday 4 April 2023,04:30,Clear,9°,2,40%,1012 hPa
Tuesday 4 April 2023,05:00,Clear,8°,4,46%,1012 hPa
Tuesday 4 April 2023,05:30,Clear,7°,4,49%,1012 hPa
Tuesday 4 April 2023,06:00,Clear,6°,7,52%,1013 hPa
Tuesday 4 April 2023,06:30,Clear,7°,6,49%,1013 hPa
Tuesday 4 April 2023,07:00,Clear,5°,4,56%,1013 hPa
Tuesday 4 April 2023,07:30,Clear,7°,2,49%,1013 hPa
Tuesday 4 April 2023,08:00,Clear,5°,2,48%,1014 hPa
Tuesday 4 April 2023,08:30,Clear,5°,2,56%,1014 hPa
Tuesday 4 April 2023,09:00,Clear,7°,4,49%,1014 hPa
