Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Wednesday 2 August 2023,19:30,Clear,35°,28,22%,1011 hPa
Wednesday 2 August 2023,20:00,Clear,35°,32,22%,1011 hPa
Wednesday 2 August 2023,20:30,Clear,34°,30,23%,1011 hPa
Wednesday 2 August 2023,21:00,Clear,32°,33,28%,1011 hPa
Wednesday 2 August 2023,21:30,Clear,32°,30,29%,1012 hPa
Wednesday 2 August 2023,22:00,Clear,31°,26,33%,1012 hPa
Wednesday 2 August 2023,22:30,Clear,30°,24,38%,1012 hPa
Wednesday 2 August 2023,23:00,Clear,30°,20,38%,1013 hPa
Wednesday 2 August 2023,23:30,Clear,29°,17,40%,1013 hPa
Thursday 3 August 2023,00:00,Clear,29°,19,40%,1013 hPa
Thursday 3 August 2023,00:30,Clear,28°,17,45%,1013 hPa
Thursday 3 August 2023,01:00,Clear,28°,15,45%,1014 hPa
Thursday 3 August 2023,01:30,Clear,27°,22,48%,1014 hPa
Thursday 3 August 2023,02:00,Clear,27°,19,48%,1014 hPa
Thursday 3 August 2023,02:30,Clear,27°,20,45%,1013 hPa
Thursday 3 August 2023,03:00,Clear,26°,20,48%,1013 hPa
Thursday 3 August 2023,03:30,Clear,26°,9,48%,1013 hPa
Thursday 3 August 2023,04:00,Clear,25°,6,50%,1013 hPa
Thursday 3 August 2023,04:30,Clear,24°,4,54%,1013 hPa
Thursday 3 August 2023,05:00,Clear,24°,6,54%,1014 hPa
Thursday 3 August 2023,05:30,Clear,23°,7,61%,1013 hPa
Thursday 3 August 2023,06:00,Clear,23°,6,61%,1014 hPa
Thursday 3 August 2023,06:30,Clear,23°,7,57%,1014 hPa
Thursday 3 August 2023,07:00,Clear,22°,6,57%,1014 hPa
Thursday 3 August 2023,07:30,Clear,22°,2,50%,1014 hPa
Thursday 3 August 2023,08:00,Clear,23°,2,47%,1014 hPa
Thursday 3 August 2023,08:30,Clear,23°,4,47%,1014 hPa
Thursday 3 August 2023,09:00,Clear,24°,4,44%,1014 hPa
Thursday 3 August 2023,09:30,Clear,24°,11,41%,1015 hPa
Thursday 3 August 2023,10:00,Fair,25°,9,39%,1015 hPa
Thursday 3 August 2023,10:30,Fair,26°,9,39%,1015 hPa
Thursday 3 August 2023,11:00,Fair,26°,7,39%,1015 hPa
Thursday 3 August 2023,11:30,Fair,27°,7,37%,1015 hPa
Thursday 3 August 2023,12:00,Fair,28°,6,37%,1015 hPa
Thursday 3 August 2023,12:30,Clear,28°,6,37%,1015 hPa
Thursday 3 August 2023,13:00,Clear,29°,6,33%,1015 hPa
Thursday 3 August 2023,13:30,Clear,30°,6,29%,1015 hPa
Thursday 3 August 2023,14:00,Clear,30°,6,29%,1015 hPa
Thursday 3 August 2023,14:30,Clear,31°,7,27%,1014 hPa
Thursday 3 August 2023,15:00,Clear,31°,9,26%,1014 hPa
Thursday 3 August 2023,15:30,Clear,32°,13,23%,1014 hPa
Thursday 3 August 2023,16:00,Clear,32°,9,23%,1014 hPa
Thursday 3 August 2023,16:30,Clear,32°,9,21%,1013 hPa
Thursday 3 August 2023,17:00,Clear,32°,6,21%,1013 hPa
Thursday 3 August 2023,17:30,Clear,33°,6,19%,1013 hPa
Thursday 3 August 2023,18:00,Clear,33°,13,>,39 19% 1013 hPa
Thursday 3 August 2023,18:30,Clear,33°,22,16%,1013 hPa
Thursday 3 August 2023,19:00,Clear,32°,17,15%,1013 hPa
Thursday 3 August 2023,19:30,Clear,32°,17,15%,1013 hPa
Thursday 3 August 2023,20:00,Clear,31°,20,15%,1013 hPa
Thursday 3 August 2023,20:30,Clear,30°,20,14%,1014 hPa
Thursday 3 August 2023,21:00,Clear,29°,22,15%,1014 hPa
Thursday 3 August 2023,21:30,Clear,28°,20,16%,1014 hPa
Thursday 3 August 2023,22:00,Clear,27°,17,17%,1015 hPa
Thursday 3 August 2023,22:30,Clear,26°,17,20%,1015 hPa
Thursday 3 August 2023,23:00,Clear,25°,19,21%,1016 hPa
Thursday 3 August 2023,23:30,Clear,25°,19,21%,1016 hPa
Friday 4 August 2023,00:00,Clear,23°,6,23%,1016 hPa
Friday 4 August 2023,00:30,Clear,22°,4,27%,1017 hPa
Friday 4 August 2023,01:00,Clear,23°,22,33%,1017 hPa
Friday 4 August 2023,01:30,Clear,21°,15,43%,1018 hPa
Friday 4 August 2023,02:00,Clear,20°,11,46%,1018 hPa
Friday 4 August 2023,02:30,Clear,19°,11,49%,1019 hPa
Friday 4 August 2023,03:00,Clear,19°,13,49%,1019 hPa
Friday 4 August 2023,03:30,Clear,18°,11,56%,1019 hPa
Friday 4 August 2023,04:00,Clear,18°,11,56%,1019 hPa
Friday 4 August 2023,04:30,Clear,17°,6,59%,1019 hPa
Friday 4 August 2023,05:00,Clear,17°,4,55%,1020 hPa
Friday 4 August 2023,05:30,Clear,17°,17,55%,1020 hPa
Friday 4 August 2023,06:00,Clear,17°,9,55%,1020 hPa
Friday 4 August 2023,06:30,Clear,16°,11,59%,1020 hPa
Friday 4 August 2023,07:00,Clear,16°,11,59%,1021 hPa
Friday 4 August 2023,07:30,Clear,16°,6,55%,1021 hPa
Friday 4 August 2023,08:00,Clear,16°,6,55%,1021 hPa
Friday 4 August 2023,08:30,Clear,17°,11,52%,1021 hPa
Friday 4 August 2023,09:00,Clear,17°,9,48%,1022 hPa
